ID,BEER,CAL,SOD,ALC,COST
1,Budweiser,144,15,4.7,0.43
2,Schlitz,151,19,4.9,0.43
3,Lowenbrau,157,15,4.9,0.48
4,Kronenbourg,170,7,5.2,0.73
5,Heineken,152,11,5,0.77
6,Old Mil,145,23,4.6,0.28
7,Augsburger,175,24,5.5,0.4
8,Strohs,149,27,4.7,0.42
9,Miller lite,99,10,4.3,0.43
10,Bud light,113,8,3.7,0.44
11,Coors,140,18,4.6,0.44
12,Coors lite,102,15,4.1,0.45
13,Michelob light,135,11,4.2,0.5
14,Becks,150,19,4.7,0.76
15,Kirin,149,6,5,0.79
16,Pabst,68,15,2.3,0.38
17,Hamms,136,19,4.4,0.43
18,Heilemans,144,24,4.9,0.43
19,Olympia,72,6,2.9,0.46
20,Schilitz lite,97,7,4.2,0.47
