Brand,Car Models,Price (INR),Mileage,Seating Capacity,Vehicle Type,Fuel Type,Transmission,Parking Sensor,Airbag,Cruise Control,Keyless Entry,Alloy wheels,ABS,Climate Control,Rear AC Vent,Power Steering
Tata,Tata Nano Std BSIII,141898,25.4,4,Hatchback,Petrol,Manual,No,No,No,No,No,No,No,No,No
Tata,Tata Nano Std,145000,25.4,4,Hatchback,Petrol,Manual,No,No,No,No,No,No,No,No,No
Tata,Tata Nano 2013 STD,150000,25.4,4,Hatchback,Petrol,Manual,No,No,No,No,No,No,No,No,No
Tata,Tata Nano Cx BSIII,171489,25.4,4,Hatchback,Petrol,Manual,No,No,No,No,No,No,No,No,No
Tata,Tata Nano Cx,191125,25.4,4,Hatchback,Petrol,Manual,No,No,No,No,No,No,No,No,No
Tata,Tata Nano 2013 CX,198000,25.4,4,Hatchback,Petrol,Manual,No,No,No,No,No,No,No,No,No
Tata,Tata Nano Lx BSIII,198605,25.4,4,Hatchback,Petrol,Manual,No,No,No,No,No,No,No,No,No
Tata,Tata Nano Lx,216238,25.4,4,Hatchback,Petrol,Manual,No,No,No,Yes,No,No,No,No,No
Tata,Tata Nano 2013 LX,223500,25.4,4,Hatchback,Petrol,Manual,No,No,No,Yes,No,No,No,No,No
Tata,Tata Nano Twist XT,237831,25.4,4,Hatchback,Petrol,Manual,No,No,No,Yes,No,No,No,No,Yes
Tata,Tata Nano CNG CX,240145,36,4,Hatchback,CNG,Manual,No,No,No,No,No,No,No,No,No
Tata,Tata Nano CNG LX,265260,36,4,Hatchback,CNG,Manual,No,No,No,No,No,No,No,No,No
Maruti,Maruti 800 Std BSIII,215899,16.1,4,Hatchback,Petrol,Manual,No,No,No,No,No,No,No,No,No
Maruti,Maruti 800 AC BSIII,238483,16.1,4,Hatchback,Petrol,Manual,No,No,No,No,No,No,No,No,No
Maruti,Maruti Omni LPG CARGO BSIII W/ IMMOBILISER,220492,10.9,5,Minivans,LPG,Manual,No,No,No,No,No,No,No,No,No
Maruti,Maruti Omni MPI CARGO,228389,14.7,5,Minivans,Petrol,Manual,No,No,No,No,No,No,No,No,No
Maruti,Maruti Omni MPI STD,252425,14.7,5,Minivans,Petrol,Manual,No,No,No,No,No,No,No,No,No
Maruti,Maruti Omni E MPI STD,254297,14.7,8,Minivans,Petrol,Manual,No,No,No,No,No,No,No,No,No
Maruti,Maruti Omni LPG STD BSIII 5 STR W/ IMMOBILISER,258463,10.9,5,Minivans,LPG,Manual,No,No,No,No,No,No,No,No,No
Maruti,Maruti Omni Limited Edition,268242,14.7,8,Minivans,Petrol,Manual,No,No,No,No,No,No,No,No,No
Maruti,Maruti Omni MPI Ambulance,285030,14.7,5,Minivans,Petrol,Manual,No,No,No,No,No,No,No,No,No
Maruti,Maruti Alto 800 Base,249639,22.74,5,Hatchback,Petrol,Manual,No,No,No,No,No,No,No,No,No
Maruti,Maruti Alto 800 LX,286139,22.74,5,Hatchback,Petrol,Manual,No,No,No,No,No,No,No,No,No
Maruti,Maruti Alto 800 LXI,308639,22.74,5,Hatchback,Petrol,Manual,No,No,No,No,No,No,No,No,Yes
Maruti,Maruti Alto 800 LXI Anniversary Edition,312751,22.74,5,Hatchback,Petrol,Manual,No,No,No,No,No,No,No,No,Yes
Maruti,Maruti Alto 800 VXI,322220,22.74,5,Hatchback,Petrol,Manual,No,Yes,No,No,No,No,No,No,Yes
Maruti,Maruti Alto 800 LXI Airbag,324639,22.74,5,Hatchback,Petrol,Manual,No,Yes,No,No,No,No,No,No,Yes
