S.No,CHK_ACCT,Duration,History,Purpose of credit,Credit Amount,Balance in Savings A/C,Employment,Install_rate,Marital status,Co-applicant,Present Resident,Real Estate,Age,Other installment,Residence,Num_Credits,Job,No. dependents,Phone,Foreign,Credit classification
1,0DM,6, critical, radio-tv,1169, unknown, over-seven,4, single-male, none,4, real-estate,67, none, own,2, skilled,1, no, yes, good.
2,less-200DM,48, duly-till-now, radio-tv,5951, less100DM, four-years,2, female-divorced, none,2, real-estate,22, none, own,1, skilled,1, yes, yes, bad.
3,no-account,12, critical, education,2096, less100DM, seven-years,2, single-male, none,3, real-estate,49, none, own,1, unskilled-resident,2, yes, yes, good.
4,0DM,42, duly-till-now, furniture,7882, less100DM, seven-years,2, single-male, guarantor,4, building-society,45, none, free,1, skilled,2, yes, yes, good.
5,0DM,24, delay, new-car,4870, less100DM, four-years,3, single-male, none,4, none,53, none, free,2, skilled,2, yes, yes, bad.
6,no-account,36, duly-till-now, education,9055, unknown, four-years,2, single-male, none,4, none,35, none, free,1, unskilled-resident,2, no, yes, good.
7,no-account,24, duly-till-now, furniture,2835, less1000DM, over-seven,3, single-male, none,4, building-society,53, none, own,1, skilled,1, yes, yes, good.
8,less-200DM,36, duly-till-now, used-car,6948, less100DM, four-years,2, single-male, none,2, car,35, none, rent,1, management,1, no, yes, good.
9,no-account,12, duly-till-now, radio-tv,3059, over1000DM, seven-years,2, male-divorced, none,4, real-estate,61, none, own,1, unskilled-resident,1, yes, yes, good.
10,less-200DM,30, critical, new-car,5234, less100DM, unemployed,4, married-male, none,2, car,28, none, own,2, management,1, yes, yes, bad.
11,less-200DM,12, duly-till-now, new-car,1295, less100DM, one-year,3, female-divorced, none,1, car,25, none, rent,1, skilled,1, yes, yes, bad.
12,0DM,48, duly-till-now, business,4308, less100DM, one-year,3, female-divorced, none,4, building-society,24, none, rent,1, skilled,1, yes, yes, bad.
13,less-200DM,12, duly-till-now, radio-tv,1567, less100DM, four-years,1, female-divorced, none,1, car,22, none, own,1, skilled,1, no, yes, good.
14,0DM,24, critical, new-car,1199, less100DM, over-seven,4, single-male, none,4, car,60, none, own,2, unskilled-resident,1, yes, yes, bad.
15,0DM,15, duly-till-now, new-car,1403, less100DM, four-years,2, female-divorced, none,4, car,28, none, rent,1, skilled,1, yes, yes, good.
16,0DM,24, duly-till-now, radio-tv,1282, less500DM, four-years,4, female-divorced, none,2, car,32, none, own,1, unskilled-resident,1, yes, yes, bad.
17,no-account,24, critical, radio-tv,2424, unknown, over-seven,4, single-male, none,4, building-society,53, none, own,2, skilled,1, yes, yes, good.
18,0DM,30, all-paid-duly, business,8072, unknown, one-year,2, single-male, none,3, car,25, bank, own,3, skilled,1, yes, yes, good.
19,less-200DM,24, duly-till-now, used-car,12579, less100DM, over-seven,4, female-divorced, none,2, none,44, none, free,1, management,1, no, yes, bad.
20,no-account,24, duly-till-now, radio-tv,3430, less1000DM, over-seven,3, single-male, none,2, car,31, none, own,1, skilled,2, no, yes, good.
21,no-account,9, critical, new-car,2134, less100DM, four-years,4, single-male, none,4, car,48, none, own,3, skilled,1, no, yes, good.
22,0DM,6, duly-till-now, radio-tv,2647, less1000DM, four-years,2, single-male, none,3, real-estate,44, none, rent,1, skilled,2, yes, yes, good.
23,0DM,10, critical, new-car,2241, less100DM, one-year,1, single-male, none,3, real-estate,48, none, rent,2, unskilled-resident,2, yes, no, good.
24,less-200DM,12, critical, used-car,1804, less500DM, one-year,3, single-male, none,4, building-society,44, none, own,1, skilled,1, yes, yes, good.
25,no-account,10, critical, furniture,2069, unknown, four-years,2, married-male, none,1, car,26, none, own,2, skilled,1, yes, no, good.
26,0DM,6, duly-till-now, furniture,1374, less100DM, four-years,1, single-male, none,2, real-estate,36, bank, own,1, unskilled-resident,1, no, yes, good.
27,no-account,6, all-paid-duly, radio-tv,426, less100DM, over-seven,4, married-male, none,4, car,39, none, own,1, unskilled-resident,1, yes, yes, good.
28,over-200DM,12, bank-paid-duly, radio-tv,409, over1000DM, four-years,3, female-divorced, none,3, real-estate,42, none, rent,2, skilled,1, yes, yes, good.
29,less-200DM,7, duly-till-now, radio-tv,2415, less100DM, four-years,3, single-male, guarantor,2, real-estate,34, none, own,1, skilled,1, yes, yes, good.
30,0DM,60, delay, business,6836, less100DM, over-seven,3, single-male, none,4, none,63, none, own,2, skilled,1, no, yes, bad.
31,less-200DM,18, duly-till-now, business,1913, over1000DM, one-year,3, married-male, none,3, real-estate,36, bank, own,1, skilled,1, no, yes, good.
32,0DM,24, duly-till-now, furniture,4020, less100DM, four-years,2, single-male, none,2, car,27, stores, own,1, skilled,1, yes, yes, good.
33,less-200DM,18, duly-till-now, new-car,5866, less500DM, four-years,2, single-male, none,2, car,30, none, own,2, skilled,1, no, yes, good.
34,no-account,12, critical, business,1264, unknown, over-seven,4, single-male, none,4, none,57, none, rent,1, unskilled-resident,1, yes, yes, good.
35,over-200DM,12, duly-till-now, furniture,1474, less100DM, one-year,4, female-divorced, none,1, building-society,33, bank, own,1, management,1, no, yes, good.
36,less-200DM,45, critical, radio-tv,4746, less100DM, one-year,4, single-male, none,2, building-society,25, none, own,2, unskilled-resident,1, yes, yes, bad.
37,no-account,48, critical, education,6110, less100DM, four-years,1, single-male, none,3, none,31, bank, free,1, skilled,1, no, yes, good.
38,over-200DM,18, duly-till-now, radio-tv,2100, less100DM, four-years,4, single-male, co-applicant,2, real-estate,37, stores, own,1, skilled,1, yes, yes, bad.
39,over-200DM,10, duly-till-now, domestic-app,1225, less100DM, four-years,2, single-male, none,2, car,37, none, own,1, skilled,1, no, yes, good.
40,less-200DM,9, duly-till-now, radio-tv,458, less100DM, four-years,4, single-male, none,3, real-estate,24, none, own,1, skilled,1, yes, yes, good.
41,no-account,30, duly-till-now, radio-tv,2333, less1000DM, over-seven,4, single-male, none,2, car,30, bank, own,1, management,1, yes, yes, good.
42,less-200DM,12, duly-till-now, radio-tv,1158, less1000DM, four-years,3, male-divorced, none,1, car,26, none, own,1, skilled,1, no, yes, good.
43,less-200DM,18, delay, repairs,6204, less100DM, four-years,2, single-male, none,4, real-estate,44, none, own,1, unskilled-resident,2, no, yes, good.
