"","X","Date","Open","High","Low","Last","Close","Total.Trade.Quantity","Turnover..Lacs."
"1",1,"2012-01-08",2838.9,2851.5,2828.05,2834.95,2835.2,95521,2711.87
"2",2,"2012-01-15",2618,2619,2552.25,2582,2584.2,2612368,67416.47
"3",3,"2012-01-22",2596,2609.7,2576.3,2580,2588.8,1454464,37677.72
"4",4,"2012-01-29",2702,2735,2686.2,2721,2725,1527359,41452.79
"5",5,"2012-02-05",2740.05,2792,2740.05,2778.1,2783.25,1454650,40426.06
"6",6,"2012-02-12",2799,2802,2751.15,2775.05,2790.4,647202,17985.75
"7",7,"2012-02-19",2916.25,2978,2900.15,2958.9,2947.8,1432160,42144.85
"8",8,"2012-02-26",2932,2974,2923.5,2938,2948.05,1067055,31469.26
"9",9,"2012-03-04",2846.85,2869.35,2846.85,2854,2858.1,21694,620.23
"10",10,"2012-03-11",2894,2903,2848,2856.5,2855.3,830601,23887.02
"11",11,"2012-03-18",2905,2913,2847.15,2860,2864.95,1128876,32536.11
"12",12,"2012-03-25",2833,2882.75,2830.4,2875.1,2872.7,687217,19663.69
"13",13,"2012-04-01",2809.9,2873,2803,2860,2866.3,995450,28344.55
"14",14,"2012-04-08",2849,2874.95,2844,2850,2851.1,656768,18755.19
"15",15,"2012-04-15",2518,2522.7,2389.1,2398.05,2402.55,9406946,231558.34
"16",16,"2012-04-22",2394.75,2428.4,2362.5,2405.1,2407.4,1438440,34677.23
"17",17,"2012-04-29",2397.75,2404.3,2387.1,2395,2395.8,61869,1481.61
"18",18,"2012-05-06",2482,2498,2423.4,2443.55,2441.95,1350111,33161.89
"19",19,"2012-05-13",2344,2360,2292.05,2312,2311.3,1112664,25705.37
"20",20,"2012-05-20",2325.35,2405,2302.15,2403,2382.85,742270,17382.62
"21",21,"2012-05-27",2363,2385,2351.05,2379,2372.85,539216,12786.39
"22",22,"2012-06-03",2415,2431.5,2383,2385,2389.2,817880,19619.68
"23",23,"2012-06-10",2488.9,2488.9,2392.8,2429.25,2419.25,695603,16801.11
"24",24,"2012-06-17",2510.05,2532,2502.75,2522,2522.55,788939,19890.36
"25",25,"2012-06-24",2449.75,2484.5,2426.45,2475,2474.45,801791,19795.34
"26",26,"2012-07-01",2494,2519,2476.2,2498,2509.2,1170621,29344.62
"27",27,"2012-07-08",2476,2485,2440,2442,2444.65,610930,14958.34
"28",28,"2012-07-15",2218,2258.8,2218,2222.9,2229.8,3344563,74964.69
"29",29,"2012-07-22",2244.9,2244.9,2205.3,2221.75,2218.75,644229,14300.65
"30",30,"2012-07-29",2162,2164,2109.3,2149.95,2148.65,1232811,26400.09
"31",31,"2012-08-05",2196.25,2217.35,2185.1,2214,2208.5,386949,8511.82
"32",32,"2012-08-12",2278,2321,2264,2321,2313.05,704461,16168.55
"33",33,"2012-08-19",2324,2355,2316.3,2351.95,2351.05,1061660,24903.3
"34",34,"2012-08-26",2448,2458.35,2434,2446,2444.8,840564,20555.48
"35",35,"2012-09-02",2386,2386,2354.75,2361.05,2361.65,726383,17206.24
"36",36,"2012-09-09",2477.2,2499.9,2477.2,2495.3,2496,79079,1969.93
"37",37,"2012-09-16",2588,2644.7,2586.1,2631,2632.1,1328481,34705.35
"38",38,"2012-09-23",2615.35,2650,2583.6,2594.85,2593.3,1536734,40155.25
"39",39,"2012-09-30",2561,2579.9,2526.2,2537,2534.95,1210653,30900.22
"40",40,"2012-10-07",2585,2585,2060.55,2526.5,2526.85,1454000,36575.19
"41",41,"2012-10-14",2350,2447.85,2311,2390,2395.35,7087722,168688.54
"42",42,"2012-10-21",2366,2397,2366,2388,2383.35,1367150,32552.85
"43",43,"2012-10-28",2334.7,2344.8,2321.05,2324.2,2329.6,427536,9975.36
"44",44,"2012-11-04",2371,2404.6,2369.1,2390,2388.1,881152,21062.59
"45",45,"2012-11-11",2365,2365,2345,2353.15,2348.7,742365,17445.62
"46",46,"2012-11-18",2291,2387,2291,2336.9,2343.35,1711638,40290.49
"47",47,"2012-11-25",2382,2399,2357.05,2374,2377.55,434717,10331.29
"48",48,"2012-12-02",2441.6,2476.45,2425.05,2436,2436.85,881339,21544.69
"49",49,"2012-12-09",2321,2348.5,2311.1,2320.5,2321.15,1185739,27560.42
"50",50,"2012-12-16",2273,2295.05,2266,2281.5,2278.8,1063499,24231.19
"51",51,"2012-12-23",2299,2321.3,2286.8,2289,2296.85,865502,19948
"52",52,"2012-12-30",2302.1,2325.5,2288.45,2323,2323.2,883032,20454.74
"53",53,"2013-01-06",2348.4,2354.95,2332,2350,2349.55,1056751,24781.76
"54",54,"2013-01-13",2521,2722,2521,2718,2712.1,11606571,307582.86
"55",55,"2013-01-20",2805,2810,2777.45,2788,2788.05,911324,25429.95
"56",56,"2013-01-27",2810,2828,2791.15,2824,2814.65,1055317,29614.65
"57",57,"2013-02-03",2791.1,2801.9,2752,2768.05,2770.95,987456,27392.12
"58",58,"2013-02-10",2783.15,2816.7,2772.25,2786,2789.45,685337,19159.61
"59",59,"2013-02-17",2790,2808.5,2776.3,2779.3,2788.6,649282,18125.38
"60",60,"2013-02-24",2798.7,2855,2797.1,2839,2840.55,1087942,30924.29
"61",61,"2013-03-03",2914,2961.4,2892,2925,2913.8,1051829,30722.29
