Policy Number,Age,Years of Driving Experience,Number of Vehicles,Gender,Married,Vehicle Age,Fuel Type,Losses
150023,24,5,1,M,Married,11,P,203
152720,31,10,1,F,Single,6,P,402
174207,56,37,1,M,Married,0,D,553
139895,52,31,1,F,Married,15,P,292
174407,20,3,1,M,Single,15,P,247
170545,29,8,1,M,Married,9,P,385
123164,36,19,1,F,Single,0,P,462
147118,67,49,1,F,Married,15,P,169
119842,69,48,1,M,Single,5,P,70
192628,16,0,1,F,Single,14,P,243
154593,19,1,1,M,Single,12,D,764
182495,29,8,1,F,Single,14,P,407
173214,20,1,1,F,Married,13,P,162
124315,67,49,1,M,Married,7,P,243
189976,46,27,1,M,Married,7,P,359
109823,57,40,1,M,Married,15,P,315
140529,65,48,1,M,Single,11,P,307
108345,20,1,1,M,Single,15,D,773
197526,67,49,1,M,Single,3,D,593
164235,62,45,1,M,Married,0,P,275
112321,44,27,1,F,Single,10,P,473
140896,17,0,1,M,Single,15,D,877
136526,29,10,1,F,Single,0,D,825
177965,66,49,1,F,Single,6,P,273
154647,22,3,1,F,Single,11,P,221
127564,33,16,1,M,Single,13,P,169
180980,69,48,1,F,Married,0,P,98
173004,39,22,1,M,Married,3,D,680
168613,41,22,1,F,Married,13,P,210
102189,20,2,1,F,Married,8,P,354
190883,68,49,1,F,Married,9,P,156
162323,31,12,1,M,Married,4,D,671
124254,30,13,1,M,Single,1,P,447
168484,64,47,1,M,Married,5,P,109
184955,68,47,1,F,Married,7,P,120
188699,49,30,1,M,Single,10,P,455
152298,23,4,1,M,Single,10,D,846
137739,50,32,1,M,Single,13,P,274
102090,39,18,1,F,Single,3,D,791
164014,35,14,1,F,Single,6,P,355
140277,38,20,1,M,Married,1,D,523
183688,66,47,1,M,Single,0,P,347
189679,58,39,1,F,Single,2,P,382
139993,25,6,1,M,Single,12,D,748
101061,45,26,1,M,Married,9,P,391
163029,48,29,1,M,Married,12,P,330
196673,18,1,1,M,Single,7,D,905
154414,40,19,1,F,Single,9,P,387
152345,17,0,1,M,Married,11,P,482
159755,32,12,1,M,Married,15,P,178
196090,25,6,1,M,Married,9,D,597
124743,56,36,1,M,Single,9,P,449
160933,67,47,1,F,Married,4,P,219
170212,60,41,1,F,Married,8,P,228
174318,60,41,1,F,Single,2,D,720
182975,16,0,1,M,Single,8,D,951
127853,42,21,1,M,Single,11,P,369
101368,20,1,1,F,Married,14,P,191
168719,40,19,1,M,Single,8,D,503
131825,16,0,1,M,Married,15,P,265
198279,70,51,1,M,Single,7,P,342
118353,20,3,1,F,Married,15,P,205
164749,28,9,1,M,Single,5,D,707
180133,28,10,1,F,Single,3,D,865
174077,20,2,1,F,Married,9,P,435
155060,22,3,1,M,Single,4,D,1096
150870,20,2,1,M,Married,12,P,373
180138,64,47,1,M,Married,11,P,48
185934,44,25,1,F,Single,13,P,447
153908,17,0,1,M,Single,12,D,665
169358,22,4,1,M,Married,14,P,317
153822,61,40,1,M,Single,5,P,389
140129,22,4,1,F,Single,13,P,406
122434,60,42,1,F,Single,12,P,46
149010,17,0,1,M,Married,14,P,355
151476,17,0,1,F,Single,11,P,297
106521,63,43,1,F,Single,4,P,217
168963,41,20,1,M,Married,6,P,376
115414,65,48,1,M,Single,15,P,26
164992,26,7,1,F,Married,5,D,606
133639,59,42,1,M,Single,11,P,351
122437,66,45,1,F,Married,12,P,16
137595,29,8,1,M,Single,5,D,739
187253,21,2,1,F,Married,13,P,183
156504,21,3,1,M,Married,13,P,311
162843,64,46,1,F,Married,11,P,260
115549,36,17,1,F,Married,7,P,322
135122,46,27,1,M,Single,10,D,596
160917,60,42,1,M,Married,13,P,162
185458,25,8,1,M,Married,15,D,525
160510,47,30,1,F,Married,6,P,330
140871,24,6,1,M,Single,13,P,414
176448,40,23,1,M,Married,1,D,593
198278,21,2,1,F,Single,14,P,412
172292,35,16,1,F,Single,7,P,395
193942,70,53,1,F,Married,8,P,59
171408,48,27,1,M,Single,0,D,575
191865,62,44,1,F,Single,2,P,85
195418,50,29,1,M,Single,8,D,552
128036,67,50,1,M,Single,6,P,78
199870,54,34,1,M,Married,9,P,314
147315,25,8,1,M,Single,5,D,3500
190621,16,0,1,M,Single,15,P,3250
142474,66,48,1,M,Single,10,P,2850
194236,63,43,1,F,Single,10,P,2535
